t_k,alpha_tk,nu_tk,r_t,V_irs
0.25000000,0.05000686,0.00740722,0.03708433,-0.06822851
0.25000000,0.05000686,0.00740722,0.05687660,0.03553236
0.25000000,0.05000686,0.00740722,0.05337285,0.01801317
0.25000000,0.05000686,0.00740722,0.04178165,-0.04252319
0.25000000,0.05000686,0.00740722,0.04651417,-0.01731875
0.25000000,0.05000686,0.00740722,0.05196027,0.01084980
0.25000000,0.05000686,0.00740722,0.05039549,0.00284645
0.25000000,0.05000686,0.00740722,0.04784268,-0.01036583
0.25000000,0.05000686,0.00740722,0.04924030,-0.00310834
0.25000000,0.05000686,0.00740722,0.04814041,-0.00881493
0.25000000,0.05000686,0.00740722,0.05113692,0.00664761
0.25000000,0.05000686,0.00740722,0.06090652,0.05525172
0.25000000,0.05000686,0.00740722,0.03099506,-0.10260359
0.25000000,0.05000686,0.00740722,0.04825246,-0.00823192
0.25000000,0.05000686,0.00740722,0.05131432,0.00755471
0.25000000,0.05000686,0.00740722,0.05219935,0.01206630
0.25000000,0.05000686,0.00740722,0.04725201,-0.01345065
0.25000000,0.05000686,0.00740722,0.03699443,-0.06872724
0.25000000,0.05000686,0.00740722,0.05243639,0.01327078
0.25000000,0.05000686,0.00740722,0.06280172,0.06436899
0.25000000,0.05000686,0.00740722,0.03864521,-0.05960958
0.25000000,0.05000686,0.00740722,0.05640542,0.03319687
0.25000000,0.05000686,0.00740722,0.04757340,-0.01177086
0.25000000,0.05000686,0.00740722,0.04955262,-0.00149451
0.25000000,0.05000686,0.00740722,0.04220781,-0.04022536
0.25000000,0.05000686,0.00740722,0.04752947,-0.01200029
0.25000000,0.05000686,0.00740722,0.05963657,0.04908668
0.25000000,0.05000686,0.00740722,0.05432271,0.02279748
0.25000000,0.05000686,0.00740722,0.06283847,0.06454481
0.25000000,0.05000686,0.00740722,0.05872821,0.04464933
0.25000000,0.05000686,0.00740722,0.05325927,0.01743934
0.25000000,0.05000686,0.00740722,0.06292456,0.06495655
0.25000000,0.05000686,0.00740722,0.05325858,0.01743584
0.25000000,0.05000686,0.00740722,0.05613995,0.03187821
0.25000000,0.05000686,0.00740722,0.04781009,-0.01053576
0.25000000,0.05000686,0.00740722,0.05049978,0.00338208
0.25000000,0.05000686,0.00740722,0.04484089,-0.02615201
0.25000000,0.05000686,0.00740722,0.05733692,0.03780797
0.25000000,0.05000686,0.00740722,0.04127890,-0.04524129
0.25000000,0.05000686,0.00740722,0.05580190,0.03019614
0.25000000,0.05000686,0.00740722,0.04859466,-0.00645372
0.25000000,0.05000686,0.00740722,0.05868254,0.04442565
0.25000000,0.05000686,0.00740722,0.05556871,0.02903393
0.25000000,0.05000686,0.00740722,0.06349278,0.06766894
0.25000000,0.05000686,0.00740722,0.05541987,0.02829129
0.25000000,0.05000686,0.00740722,0.03836241,-0.06116540
0.25000000,0.05000686,0.00740722,0.04951092,-0.00170978
0.25000000,0.05000686,0.00740722,0.04132554,-0.04498881
0.25000000,0.05000686,0.00740722,0.04616785,-0.01914003
0.25000000,0.05000686,0.00740722,0.06120086,0.05667419
0.25000000,0.05000686,0.00740722,0.05472921,0.02483698
0.25000000,0.05000686,0.00740722,0.04482973,-0.02621120
0.25000000,0.05000686,0.00740722,0.04249803,-0.03866369
0.25000000,0.05000686,0.00740722,0.05024968,0.00209701
0.25000000,0.05000686,0.00740722,0.04099553,-0.04677682
0.25000000,0.05000686,0.00740722,0.04503557,-0.02511987
0.25000000,0.05000686,0.00740722,0.05231798,0.01266930
0.25000000,0.05000686,0.00740722,0.05856451,0.04384721
0.25000000,0.05000686,0.00740722,0.05451609,0.02376829
0.25000000,0.05000686,0.00740722,0.03303477,-0.09095431
0.25000000,0.05000686,0.00740722,0.05226137,0.01238159
0.25000000,0.05000686,0.00740722,0.05054043,0.00359078
0.25000000,0.05000686,0.00740722,0.05307263,0.01649560
0.25000000,0.05000686,0.00740722,0.06197848,0.06042076
0.25000000,0.05000686,0.00740722,0.03472400,-0.08140997
0.25000000,0.05000686,0.00740722,0.04562843,-0.02198400
